2016-12-27 00:09:25,211 |-0.0.0.0-8443-exec-6 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:25,211 |-0.0.0.0-8443-exec-6 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:59,757 |0.0.0.0-8443-exec-16 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 00:09:59,758 |0.0.0.0-8443-exec-16 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 22:58:30,832 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localpostolap]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-12-27 22:58:30,832 |OFBiz-config-1       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-12-27 22:58:30,832 |OFBiz-config-1       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-12-27 22:58:30,832 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database for helperName [localposttenant]... Error was: java.sql.SQLException: Unable to acquire a new connection from the pool
2016-12-27 22:58:30,832 |OFBiz-config-0       |DatabaseUtil                  |E| Unable to establish a connection with the database, no additional information available.
2016-12-27 22:58:30,832 |OFBiz-config-0       |DatabaseUtil                  |E| Could not get table name information from the database, aborting.
2016-12-27 22:58:53,321 |catalina-startup-2   |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 22:58:53,322 |catalina-startup-2   |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 23:56:33,439 |-0.0.0.0-8443-exec-1 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 23:56:33,440 |-0.0.0.0-8443-exec-1 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 60. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
2016-12-27 23:56:33,447 |-0.0.0.0-8443-exec-2 |UtilXml                       |E| XmlFileLoader: File jndi:/0.0.0.0/imscenter/WEB-INF/controller.xml process error. Line: 53. Error message: cvc-complex-type.2.3: Element 'request-map' cannot have character [children], because the type's content type is element-only.
