2016-10-13 00:00:04,033 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [11000] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:04,241 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [11001] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:05,108 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 794 milli-seconds:  EntityName: OrderHeader Sql: SELECT ORDER_ID FROM public.ORDER_HEADER WHERE ((ORDER_TYPE_ID = ? AND ENTRY_DATE > ?)) ORDER BY ENTRY_DATE ASC where clause:[ORDER_TYPE_ID=SALES_ORDER, ENTRY_DATE=2016-10-12 23:32:32.291]
2016-10-13 00:00:05,306 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [1270] milliseconds
2016-10-13 00:00:05,407 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [11002] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:06,777 |OFBiz-JobQueue-1     |UtilProperties                |I| ResourceBundle OrderUiLabels (en) created in 2.394s with 970 properties
2016-10-13 00:00:06,779 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [2536] milliseconds
2016-10-13 00:00:06,808 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [11003] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:07,198 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 451 milli-seconds:  EntityName: OrderItem Sql: SELECT ORDER_ID, ORDER_ITEM_SEQ_ID, EXTERNAL_ID, ORDER_ITEM_TYPE_ID, ORDER_ITEM_GROUP_SEQ_ID, IS_ITEM_GROUP_PRIMARY, FROM_INVENTORY_ITEM_ID, BUDGET_ID, BUDGET_ITEM_SEQ_ID, PRODUCT_ID, SUPPLIER_PRODUCT_ID, PRODUCT_FEATURE_ID, PROD_CATALOG_ID, PRODUCT_CATEGORY_ID, IS_PROMO, QUOTE_ID, QUOTE_ITEM_SEQ_ID, SHOPPING_LIST_ID, SHOPPING_LIST_ITEM_SEQ_ID, SUBSCRIPTION_ID, DEPLOYMENT_ID, QUANTITY, CANCEL_QUANTITY, SELECTED_AMOUNT, UNIT_PRICE, UNIT_LIST_PRICE, UNIT_AVERAGE_COST, UNIT_RECURRING_PRICE, IS_MODIFIED_PRICE, RECURRING_FREQ_UOM_ID, ITEM_DESCRIPTION, COMMENTS, CORRESPONDING_PO_ID, STATUS_ID, SYNC_STATUS_ID, ESTIMATED_SHIP_DATE, ESTIMATED_DELIVERY_DATE, AUTO_CANCEL_DATE, DONT_CANCEL_SET_DATE, DONT_CANCEL_SET_USER_LOGIN, SHIP_BEFORE_DATE, SHIP_AFTER_DATE, CANCEL_BACK_ORDER_DATE, OVERRIDE_GL_ACCOUNT_ID, SALES_OPPORTUNITY_ID, CHANGE_BY_USER_LOGIN_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_ITEM WHERE ((ORDER_ID = ?)) where clause:[ORDER_ID=DEMO10091]
2016-10-13 00:00:07,205 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [1797] milliseconds
2016-10-13 00:00:07,282 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [11004] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:07,375 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [567] milliseconds
2016-10-13 00:00:07,398 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [11005] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:07,409 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [126] milliseconds
2016-10-13 00:00:07,443 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [11006] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:07,749 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 295 milli-seconds:  EntityName: ProductStorePromoAndAppl Sql: SELECT PP.PROMO_NAME, PP.USER_ENTERED, PSPA.FROM_DATE, PSPA.SEQUENCE_NUM, PSPA.MANUAL_ONLY, PSPA.PRODUCT_STORE_ID, PSPA.PRODUCT_PROMO_ID, PSPA.THRU_DATE FROM public.PRODUCT_STORE_PROMO_APPL PSPA INNER JOIN public.PRODUCT_PROMO PP ON PSPA.PRODUCT_PROMO_ID = PP.PRODUCT_PROMO_ID WHERE ((PSPA.PRODUCT_STORE_ID IS NULL AND PP.USER_ENTERED = ? AND PSPA.THRU_DATE IS NOT NULL AND PSPA.THRU_DATE < ?)) where clause:[PP_USER_ENTERED=Y, PSPA_THRU_DATE=2016-10-13 00:00:07.452]
2016-10-13 00:00:07,750 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [306] milliseconds
2016-10-13 00:00:07,778 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [11007] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:07,816 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 391 milli-seconds:  EntityName: InventoryItem Sql: SELECT INVENTORY_ITEM_ID, INVENTORY_ITEM_TYPE_ID, PRODUCT_ID, PARTY_ID, OWNER_PARTY_ID, STATUS_ID, DATETIME_RECEIVED, DATETIME_MANUFACTURED, EXPIRE_DATE, FACILITY_ID, CONTAINER_ID, LOT_ID, UOM_ID, BIN_NUMBER, LOCATION_SEQ_ID, COMMENTS, QUANTITY_ON_HAND_TOTAL, AVAILABLE_TO_PROMISE_TOTAL, ACCOUNTING_QUANTITY_TOTAL, QUANTITY_ON_HAND, AVAILABLE_TO_PROMISE, SERIAL_NUMBER, SOFT_IDENTIFIER, ACTIVATION_NUMBER, ACTIVATION_VALID_THRU, UNIT_COST, CURRENCY_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP, FIXED_ASSET_ID FROM public.INVENTORY_ITEM WHERE (AVAILABLE_TO_PROMISE_TOTAL < ?) where clause:[AVAILABLE_TO_PROMISE_TOTAL=0]
2016-10-13 00:00:07,818 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2016-10-13 00:00:07,818 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2016-10-13 00:00:07,820 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [421] milliseconds
2016-10-13 00:00:07,862 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [11009] -- Next runtime: Fri Oct 14 00:00:00 IST 2016
2016-10-13 00:00:08,053 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2016-10-12 00:00:07.952]
2016-10-13 00:00:08,056 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [277] milliseconds
