2016-10-22 23:03:04,435 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Users/Windows/git/IMSProject/IMS/framework/base/config/ofbiz-containers.xml for loaders {main}
2016-10-22 23:03:05,621 |main                 |ContainerLoader               |I| Loading container: component-container
2016-10-22 23:03:05,827 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/framework]
2016-10-22 23:03:06,077 |main                 |ComponentContainer            |I| Loading component : [base]
2016-10-22 23:03:06,366 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-10-22 23:03:06,514 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-10-22 23:03:06,663 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-10-22 23:03:06,816 |main                 |ComponentContainer            |I| Loading component : [security]
2016-10-22 23:03:06,936 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-10-22 23:03:07,035 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-10-22 23:03:07,175 |main                 |ComponentContainer            |I| Loading component : [common]
2016-10-22 23:03:07,277 |main                 |ComponentContainer            |I| Loading component : [service]
2016-10-22 23:03:07,478 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-10-22 23:03:07,565 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-10-22 23:03:07,615 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-10-22 23:03:07,680 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-10-22 23:03:07,739 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-10-22 23:03:07,811 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-10-22 23:03:07,878 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-10-22 23:03:07,975 |main                 |ComponentContainer            |I| Loading component : [images]
2016-10-22 23:03:07,977 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/themes]
2016-10-22 23:03:08,044 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-10-22 23:03:08,101 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-10-22 23:03:08,102 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/applications]
2016-10-22 23:03:08,217 |main                 |ComponentContainer            |I| Loading component : [party]
2016-10-22 23:03:08,270 |main                 |ComponentContainer            |I| Loading component : [securityext]
