2016-10-23 00:00:23,615 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [11209] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:25,162 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1527 milli-seconds:  EntityName: Subscription Sql: SELECT SUBSCRIPTION_ID, DESCRIPTION, SUBSCRIPTION_RESOURCE_ID, COMMUNICATION_EVENT_ID, CONTACT_MECH_ID, ORIGINATED_FROM_PARTY_ID, ORIGINATED_FROM_ROLE_TYPE_ID, PARTY_ID, ROLE_TYPE_ID, PARTY_NEED_ID, NEED_TYPE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, PRODUCT_ID, PRODUCT_CATEGORY_ID, INVENTORY_ITEM_ID, SUBSCRIPTION_TYPE_ID, EXTERNAL_SUBSCRIPTION_ID, FROM_DATE, THRU_DATE, PURCHASE_FROM_DATE, PURCHASE_THRU_DATE, MAX_LIFE_TIME, MAX_LIFE_TIME_UOM_ID, AVAILABLE_TIME, AVAILABLE_TIME_UOM_ID, USE_COUNT_LIMIT, USE_TIME, USE_TIME_UOM_ID, AUTOMATIC_EXTEND, CANCL_AUTM_EXT_TIME, CANCL_AUTM_EXT_TIME_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SUBSCRIPTION WHERE ((AUTOMATIC_EXTEND = ? AND ORDER_ID IS NOT NULL AND PRODUCT_ID IS NOT NULL)) where clause:[AUTOMATIC_EXTEND=Y]
2016-10-23 00:00:25,170 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [1553] milliseconds
2016-10-23 00:00:25,402 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [11210] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:26,361 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [11208] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:26,647 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1237 milli-seconds:  EntityName: ShoppingList Sql: SELECT SHOPPING_LIST_ID, SHOPPING_LIST_TYPE_ID, PARENT_SHOPPING_LIST_ID, PRODUCT_STORE_ID, VISITOR_ID, PARTY_ID, LIST_NAME, DESCRIPTION, IS_PUBLIC, IS_ACTIVE, CURRENCY_UOM, SHIPMENT_METHOD_TYPE_ID, CARRIER_PARTY_ID, CARRIER_ROLE_TYPE_ID, CONTACT_MECH_ID, PAYMENT_METHOD_ID, RECURRENCE_INFO_ID, LAST_ORDERED_DATE, LAST_ADMIN_MODIFIED, PRODUCT_PROMO_CODE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SHOPPING_LIST WHERE ((PARTY_ID IS NULL AND SHOPPING_LIST_TYPE_ID = ?)) where clause:[SHOPPING_LIST_TYPE_ID=SLT_SPEC_PURP]
2016-10-23 00:00:26,650 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [1247] milliseconds
2016-10-23 00:00:26,932 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 566 milli-seconds:  EntityName: ShoppingList Sql: SELECT SHOPPING_LIST_ID, SHOPPING_LIST_TYPE_ID, PARENT_SHOPPING_LIST_ID, PRODUCT_STORE_ID, VISITOR_ID, PARTY_ID, LIST_NAME, DESCRIPTION, IS_PUBLIC, IS_ACTIVE, CURRENCY_UOM, SHIPMENT_METHOD_TYPE_ID, CARRIER_PARTY_ID, CARRIER_ROLE_TYPE_ID, CONTACT_MECH_ID, PAYMENT_METHOD_ID, RECURRENCE_INFO_ID, LAST_ORDERED_DATE, LAST_ADMIN_MODIFIED, PRODUCT_PROMO_CODE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SHOPPING_LIST WHERE ((SHOPPING_LIST_TYPE_ID = ? AND IS_ACTIVE = ?)) ORDER BY LAST_ORDERED_DATE DESC where clause:[SHOPPING_LIST_TYPE_ID=SLT_AUTO_REODR, IS_ACTIVE=Y]
2016-10-23 00:00:26,937 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [574] milliseconds
2016-10-23 00:00:27,144 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [11211] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:27,346 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [11212] -- Next runtime: Mon Oct 24 00:00:00 IST 2016
2016-10-23 00:00:28,449 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 1095 milli-seconds:  EntityName: OrderPaymentPreference Sql: SELECT ORDER_PAYMENT_PREFERENCE_ID, ORDER_ID, ORDER_ITEM_SEQ_ID, SHIP_GROUP_SEQ_ID, PRODUCT_PRICE_PURPOSE_ID, PAYMENT_METHOD_TYPE_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, SECURITY_CODE, TRACK2, PRESENT_FLAG, SWIPED_FLAG, OVERFLOW_FLAG, MAX_AMOUNT, PROCESS_ATTEMPT, BILLING_POSTAL_CODE, MANUAL_AUTH_CODE, MANUAL_REF_NUM, STATUS_ID, NEEDS_NSF_RETRY, CREATED_DATE, CREATED_BY_USER_LOGIN, LAST_MODIFIED_DATE, LAST_MODIFIED_BY_USER_LOGIN, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.ORDER_PAYMENT_PREFERENCE WHERE ((STATUS_ID = ? AND PROCESS_ATTEMPT > ?)) ORDER BY ORDER_ID ASC where clause:[STATUS_ID=PAYMENT_NOT_AUTH, PROCESS_ATTEMPT=0]
2016-10-23 00:00:28,450 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2016-10-23 00:00:28,452 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [1103] milliseconds
2016-10-23 00:00:28,649 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 1498 milli-seconds:  EntityName: InventoryItem Sql: SELECT INVENTORY_ITEM_ID, INVENTORY_ITEM_TYPE_ID, PRODUCT_ID, PARTY_ID, OWNER_PARTY_ID, STATUS_ID, DATETIME_RECEIVED, DATETIME_MANUFACTURED, EXPIRE_DATE, FACILITY_ID, CONTAINER_ID, LOT_ID, UOM_ID, BIN_NUMBER, LOCATION_SEQ_ID, COMMENTS, QUANTITY_ON_HAND_TOTAL, AVAILABLE_TO_PROMISE_TOTAL, ACCOUNTING_QUANTITY_TOTAL, QUANTITY_ON_HAND, AVAILABLE_TO_PROMISE, SERIAL_NUMBER, SOFT_IDENTIFIER, ACTIVATION_NUMBER, ACTIVATION_VALID_THRU, UNIT_COST, CURRENCY_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP, FIXED_ASSET_ID FROM public.INVENTORY_ITEM WHERE (AVAILABLE_TO_PROMISE_TOTAL < ?) where clause:[AVAILABLE_TO_PROMISE_TOTAL=0]
2016-10-23 00:00:28,649 |OFBiz-JobQueue-1     |InventoryServices             |I| OOS Inventory Items: 0
2016-10-23 00:00:28,651 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [1506] milliseconds
