2016-12-26 23:21:40,008 |main                 |ComponentContainer            |I| Loading component : [product]
2016-12-26 23:21:40,045 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-12-26 23:21:40,088 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-12-26 23:21:40,097 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/securepay' does not exist
2016-12-26 23:21:40,097 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/cybersource' does not exist
2016-12-26 23:21:40,098 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-12-26 23:21:40,098 |main                 |ComponentContainer            |W| Location 'C:/Users/Windows/git/IMSProject/IMS/applications/accounting/lib/worldpay' does not exist
2016-12-26 23:21:40,120 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-12-26 23:21:40,147 |main                 |ComponentContainer            |I| Loading component : [order]
2016-12-26 23:21:40,188 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-12-26 23:21:40,218 |main                 |ComponentContainer            |I| Loading component : [imscenter]
2016-12-26 23:21:40,249 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-12-26 23:21:40,253 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/specialpurpose]
2016-12-26 23:21:40,301 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-12-26 23:21:40,305 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/Windows/git/IMSProject/IMS/hot-deploy]
2016-12-26 23:21:40,350 |main                 |ComponentContainer            |I| All components loaded
2016-12-26 23:21:40,350 |main                 |ContainerLoader               |I| Loaded container: component-container
2016-12-26 23:21:40,356 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2016-12-26 23:21:40,505 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2016-12-26 23:21:40,505 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2016-12-26 23:21:40,505 |main                 |ContainerLoader               |I| Loading component's container: service-container
2016-12-26 23:21:40,516 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2016-12-26 23:21:40,517 |main                 |ContainerLoader               |I| Loading component's container: dataload-container
2016-12-26 23:21:40,571 |main                 |ContainerLoader               |I| Loaded component's container: dataload-container
2016-12-26 23:21:40,575 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2016-12-26 23:21:40,576 |main                 |ContainerLoader               |I| Starting container component-container
2016-12-26 23:21:40,576 |main                 |ContainerLoader               |I| Started container component-container
2016-12-26 23:21:40,576 |main                 |ContainerLoader               |I| Starting container classloader-container
2016-12-26 23:21:40,576 |main                 |ContainerLoader               |I| Started container classloader-container
2016-12-26 23:21:40,576 |main                 |ContainerLoader               |I| Starting container service-container
2016-12-26 23:21:40,577 |main                 |ContainerLoader               |I| Started container service-container
2016-12-26 23:21:40,577 |main                 |ContainerLoader               |I| Starting container dataload-container
2016-12-26 23:21:40,589 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2016-12-26 23:21:43,311 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-12-26 23:21:43,311 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-12-26 23:21:43,312 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-12-26 23:21:43,312 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
