2016-12-27 00:00:06,893 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [10001] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:06,987 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [10000] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:07,022 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [34] milliseconds
2016-12-27 00:00:07,053 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [10002] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:07,110 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 206 milli-seconds:  EntityName: ShoppingList Sql: SELECT SHOPPING_LIST_ID, SHOPPING_LIST_TYPE_ID, PARENT_SHOPPING_LIST_ID, PRODUCT_STORE_ID, VISITOR_ID, PARTY_ID, LIST_NAME, DESCRIPTION, IS_PUBLIC, IS_ACTIVE, CURRENCY_UOM, SHIPMENT_METHOD_TYPE_ID, CARRIER_PARTY_ID, CARRIER_ROLE_TYPE_ID, CONTACT_MECH_ID, PAYMENT_METHOD_ID, RECURRENCE_INFO_ID, LAST_ORDERED_DATE, LAST_ADMIN_MODIFIED, PRODUCT_PROMO_CODE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SHOPPING_LIST WHERE ((PARTY_ID IS NULL AND SHOPPING_LIST_TYPE_ID = ?)) where clause:[SHOPPING_LIST_TYPE_ID=SLT_SPEC_PURP]
2016-12-27 00:00:07,112 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [218] milliseconds
2016-12-27 00:00:07,148 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [10003] -- Next runtime: Wed Dec 28 00:00:00 IST 2016
2016-12-27 00:00:07,315 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 256 milli-seconds:  EntityName: ReturnHeader Sql: SELECT RETURN_ID, RETURN_HEADER_TYPE_ID, STATUS_ID, CREATED_BY, FROM_PARTY_ID, TO_PARTY_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, BILLING_ACCOUNT_ID, ENTRY_DATE, ORIGIN_CONTACT_MECH_ID, DESTINATION_FACILITY_ID, NEEDS_INVENTORY_RECEIVE, CURRENCY_UOM_ID, SUPPLIER_RMA_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.RETURN_HEADER WHERE ((STATUS_ID = ? AND RETURN_HEADER_TYPE_ID = ?)) ORDER BY ENTRY_DATE ASC where clause:[STATUS_ID=RETURN_ACCEPTED, RETURN_HEADER_TYPE_ID=CUSTOMER_RETURN]
2016-12-27 00:00:07,320 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [266] milliseconds
2016-12-27 00:00:07,465 |OFBiz-JobQueue-1     |PersistedServiceJob           |W| Persisted Job [10005] references a RecurrenceInfo, recommend using TemporalExpression instead
2016-12-27 00:00:07,491 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Auto Reconcile Financial Account] Id [10005] -- Next runtime: Sun Jan 01 00:00:00 IST 2017
