2016-12-28 00:00:03,161 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [10017] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:03,166 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [10018] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:03,576 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 320 milli-seconds:  EntityName: ShoppingList Sql: SELECT SHOPPING_LIST_ID, SHOPPING_LIST_TYPE_ID, PARENT_SHOPPING_LIST_ID, PRODUCT_STORE_ID, VISITOR_ID, PARTY_ID, LIST_NAME, DESCRIPTION, IS_PUBLIC, IS_ACTIVE, CURRENCY_UOM, SHIPMENT_METHOD_TYPE_ID, CARRIER_PARTY_ID, CARRIER_ROLE_TYPE_ID, CONTACT_MECH_ID, PAYMENT_METHOD_ID, RECURRENCE_INFO_ID, LAST_ORDERED_DATE, LAST_ADMIN_MODIFIED, PRODUCT_PROMO_CODE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.SHOPPING_LIST WHERE ((PARTY_ID IS NULL AND SHOPPING_LIST_TYPE_ID = ?)) where clause:[SHOPPING_LIST_TYPE_ID=SLT_SPEC_PURP]
2016-12-28 00:00:03,619 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [457] milliseconds
2016-12-28 00:00:03,655 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [10019] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:03,955 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 596 milli-seconds:  EntityName: OrderHeader Sql: SELECT ORDER_ID FROM public.ORDER_HEADER WHERE ((ORDER_TYPE_ID = ? AND ENTRY_DATE > ?)) ORDER BY ENTRY_DATE ASC where clause:[ORDER_TYPE_ID=SALES_ORDER, ENTRY_DATE=2016-12-27 00:00:06.965]
2016-12-28 00:00:03,959 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [792] milliseconds
2016-12-28 00:00:03,980 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [10020] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
2016-12-28 00:00:04,014 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 319 milli-seconds:  EntityName: ReturnHeader Sql: SELECT RETURN_ID, RETURN_HEADER_TYPE_ID, STATUS_ID, CREATED_BY, FROM_PARTY_ID, TO_PARTY_ID, PAYMENT_METHOD_ID, FIN_ACCOUNT_ID, BILLING_ACCOUNT_ID, ENTRY_DATE, ORIGIN_CONTACT_MECH_ID, DESTINATION_FACILITY_ID, NEEDS_INVENTORY_RECEIVE, CURRENCY_UOM_ID, SUPPLIER_RMA_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.RETURN_HEADER WHERE ((STATUS_ID = ? AND RETURN_HEADER_TYPE_ID = ?)) ORDER BY ENTRY_DATE ASC where clause:[STATUS_ID=RETURN_ACCEPTED, RETURN_HEADER_TYPE_ID=CUSTOMER_RETURN]
2016-12-28 00:00:04,016 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [360] milliseconds
2016-12-28 00:00:04,043 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [10022] -- Next runtime: Thu Dec 29 00:00:00 IST 2016
